frame_no,user_position,user_orientation,camera_hit_obj,camera_hit_point,camera_hit_dist,controller_hit_obj,controller_hit_point,controller_hit_distance
870,"(-11.77,3.31,1.13)","(-0.17,0.00,0.99)",Wall North,"(-13.70,3.31,12.25)",11.28,Sphere,"(-12.56,2.83,2.94)",1.69
880,"(-11.77,3.31,1.13)","(-0.17,0.00,0.99)",Wall North,"(-13.70,3.31,12.25)",11.28,Sphere,"(-12.56,2.83,2.94)",1.69
890,"(-11.79,3.31,1.21)","(-0.17,0.00,0.99)",Wall North,"(-13.70,3.31,12.25)",11.28,Sphere,"(-12.56,2.83,2.94)",1.69
900,"(-11.86,3.31,1.60)","(-0.17,0.00,0.99)",Wall North,"(-13.70,3.31,12.25)",10.89,Sphere,"(-12.65,2.82,3.37)",1.73
910,"(-11.92,3.31,2.00)","(-0.17,0.00,0.99)",Wall North,"(-13.70,3.31,12.25)",10.48,Sphere,"(-12.76,2.80,3.82)",1.81
920,"(-11.98,3.31,2.31)","(-0.17,0.00,0.99)",Wall North,"(-13.70,3.31,12.25)",10.09,Sphere,"(-12.86,2.77,4.28)",1.89
930,"(-11.98,3.31,2.31)","(-0.17,0.00,0.99)",Wall North,"(-13.70,3.31,12.25)",10.09,Sphere,"(-12.89,2.76,4.32)",1.93
940,"(-11.98,3.31,2.31)","(-0.17,0.00,0.99)",Wall North,"(-13.70,3.31,12.25)",10.09,Sphere,"(-12.89,2.76,4.32)",1.93
950,"(-11.98,3.31,2.31)","(-0.17,0.00,0.99)",Wall North,"(-13.70,3.31,12.25)",10.09,Sphere,"(-12.89,2.76,4.32)",1.93
960,"(-11.98,3.31,2.31)","(-0.17,0.00,0.99)",Wall North,"(-13.70,3.31,12.25)",10.09,Sphere,"(-12.89,2.76,4.32)",1.93
970,"(-11.97,3.31,2.24)","(-0.17,0.00,0.99)",Wall North,"(-13.70,3.31,12.25)",10.09,Sphere,"(-12.89,2.76,4.32)",1.93
980,"(-11.90,3.31,1.84)","(-0.17,0.00,0.99)",Wall North,"(-13.70,3.31,12.25)",10.48,Sphere,"(-12.80,2.77,3.89)",1.90
990,"(-11.88,3.31,1.72)","(-0.17,0.00,0.99)",Wall North,"(-13.70,3.31,12.25)",10.69,Sphere,"(-12.72,2.79,3.63)",1.81
1000,"(-11.88,3.31,1.72)","(-0.17,0.00,0.99)",Wall North,"(-13.70,3.31,12.25)",10.69,Sphere,"(-12.72,2.79,3.63)",1.81
1010,"(-11.88,3.31,1.72)","(-0.17,0.00,0.99)",Wall North,"(-13.70,3.31,12.25)",10.69,Sphere,"(-12.72,2.79,3.63)",1.81
